Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
m,10/09/1990,82,council for indian school certificate examination,2008,81,council for indian school certificate examination,2,B.Tech/B.E.,electronics and electrical engineering,64,0,Uttar Pradesh,2012,625,585,530,0.376059587,-1,300,-1,-1,-1,-1,-1,0.7419,0.8128,-1.6502,-0.8778,-0.2875,500000
m,14/04/1990,78,kea,2008,69,kea,2,B.Tech/B.E.,electronics and communication engineering,75,1,Karnataka,2012,355,485,425,0.0587928,325,200,-1,-1,-1,-1,-1,-0.2628,-0.5913,-0.1988,1.2374,-0.169,300000
m,12/07/1990,65,state board,2008,65.4,state board,1,B.Tech/B.E.,computer science & engineering,67.72,0,Uttar Pradesh,2014,490,615,725,0.744758354,595,-1,438,-1,-1,-1,-1,-0.3027,-0.7866,-1.527,1.9207,-1.6273,300000
m,02/03/1990,70.2,0,2007,68.4,0,1,B.Tech/B.E.,electronics and electrical engineering,60.4,0,Uttar Pradesh,2011,544,415,504,0.0587928,335,200,-1,-1,-1,-1,-1,-0.5719,-0.2793,0.672,-0.6428,-0.2875,510000
f,14/10/1993,93,state board,2010,89,state board,2,B.Tech/B.E.,information technology,83,0,Tamil Nadu,2014,345,495,325,0.622642916,445,-1,407,-1,-1,-1,-1,-0.7335,0.0459,-0.1437,1.0333,-0.8608,150000
m,24/02/1993,53.4,cbse,2010,66,cbse,2,B.Tech/B.E.,information technology,60.62,0,Uttar Pradesh,2014,300,520,330,0.744758354,335,-1,438,-1,-1,-1,-1,-0.3027,0.2124,1.0859,1.1601,-0.4776,240000
m,02/07/1990,84.2,0,2008,78.6,0,2,B.Tech/B.E.,electronics and communication engineering,64.45,0,Haryana,2012,525,605,595,0.376059587,-1,300,-1,-1,-1,-1,-1,-2.272,0.2668,-0.9245,1.0024,0.6603,145000
m,03/06/1991,71.5,uttar pradesh,2007,60,cbse,2,B.Tech/B.E.,computer science & engineering,68.74,0,Uttar Pradesh,2012,415,355,455,0.24545566,335,-1,-1,-1,-1,-1,-1,0.51,1.1248,-0.7794,-0.2609,-0.6035,240000
m,07/10/1990,81.5,state board,2009,80.2,state board,2,B.Tech/B.E.,computer science & engineering,82,1,West Bengal,2013,430,510,415,0.3423149,365,-1,-1,-1,-1,-1,-1,0.7027,-1.1196,-0.1437,0.3995,0.2889,310000
m,26/07/1991,63,cbse,2008,66,cbse,2,B.Tech/B.E.,computer engineering,65.55,0,Madhya Pradesh,2012,435,465,465,0.704090412,465,-1,-1,-1,-1,-1,-1,-3.6631,-2.1513,0.0914,1.32553,-1.2354,450000
m,20/05/1987,74,"board of secondary education,andhara pradesh",2004,86.1,"board of intermediate education,hyderabad",2,MCA,computer application,76,0,Andhra Pradesh,2010,405,385,585,0.635978756,445,-1,-1,-1,-1,-1,-1,-1.8083,-0.5913,-0.9245,-0.0552,0.3444,380000
f,20/03/1992,91.6,state board,2010,86.5,state board,2,B.Tech/B.E.,electronics and communication engineering,80.2,1,Karnataka,2014,465,510,570,0.783303537,445,388,-1,-1,-1,484,-1,-0.159,1.2114,0.4711,-1.6289,0.0973,300000
m,01/06/1992,87.5,state board,2009,89.9,state board,2,B.Tech/B.E.,computer engineering,73.21,0,Andhra Pradesh,2013,500,415,485,0.704090412,465,-1,-1,-1,-1,-1,-1,0.1282,0.8784,0.6248,-0.3612,-0.6692,300000
m,22/07/1992,78.5,state board,2009,83,state board,2,B.Tech/B.E.,electronics and communication engineering,77.72,0,Telangana,2013,350,470,405,0.20739217,355,260,-1,-1,-1,-1,-1,1.7081,0.7119,0.6248,-1.3753,0.6721,200000
m,09/02/1992,79.5,state board,2009,63.2,state board,2,B.Tech/B.E.,electronics and communication engineering,63.3,0,Orissa,2014,615,425,440,0.493596387,405,324,-1,-1,-1,452,-1,-0.3027,1.0449,1.3933,0.1459,0.8637,170000
f,23/09/1991,71,wbbse,2009,68,wbchse,2,B.Tech/B.E.,computer science & engineering,81.4,1,West Bengal,2013,345,570,220,0.843123727,515,-1,-1,-1,-1,-1,-1,0.2718,0.3789,0.6248,-1.3753,-0.6692,95000
m,15/12/1989,66,state board,2006,61,state board,2,B.Tech/B.E.,computer science & engineering,72.04,0,Uttar Pradesh,2012,640,500,545,0.953899775,464,-1,530,-1,-1,-1,-1,0.5591,1.0449,-0.1437,-0.6147,-0.8608,335000
m,14/11/1991,74,cbse,2009,63,cbse,2,B.Tech/B.E.,computer science & engineering,72,0,Haryana,2013,490,530,370,0.04099931,405,-1,223,-1,-1,-1,-1,-1.5953,0.5454,-0.7585,0.5262,-0.6692,110000
m,04/03/1990,91,matriculation board,2007,90.91,hisher seconadry examination(state board),2,B.Tech/B.E.,electronics and communication engineering,83.2,0,Tamil Nadu,2011,565,515,575,0.229481755,325,266,-1,-1,-1,-1,-1,0.6646,1.1248,1.5428,-0.4078,0.3444,450000
f,22/06/1991,89.44,state board,2009,75.33,state board,2,B.Tech/B.E.,computer science & engineering,68.69,0,Karnataka,2013,500,425,385,0.704090412,465,-1,-1,-1,-1,-1,-1,0.8463,0.0459,1.7007,-0.4879,0.0973,200000
m,26/07/1993,76,cbse,2010,64,cbse,2,B.Tech/B.E.,computer science & engineering,67,0,Uttar Pradesh,2014,555,450,470,0.486747008,465,-1,376,-1,-1,-1,-1,-1.1644,1.2114,0.4711,-0.1076,-0.6692,310000
m,25/02/1991,77,state board,2008,75,state board,2,B.Tech/B.E.,mechanical engineering,65.42,1,Telangana,2012,425,415,375,0.068445751,-1,-1,-1,254,-1,-1,-1,1.4374,1.1248,1.2525,0.53233,0.4234,200000
m,22/12/1990,63,cbse,2009,74,cbse,2,B.Tech/B.E.,information science engineering,57,1,Karnataka,2013,545,500,455,0.600057182,435,-1,-1,-1,-1,-1,-1,-1.4517,-2.1186,-0.6048,0.9066,-1.6273,240000
f,24/05/1991,90.33,board of secondary education - andhra pradesh,2008,88.6,"board fo intermediate education, ap",2,B.Tech/B.E.,computer engineering,69.55,0,Andhra Pradesh,2012,725,505,415,0.704090412,465,-1,-1,-1,-1,-1,-1,0.51,1.4368,-0.0537,-1.34787,0.8973,300000
m,08/01/1992,76.5,state board,2009,84,state board,2,B.Tech/B.E.,mechanical engineering,87.2,0,Tamil Nadu,2013,380,440,385,0.414337426,-1,-1,-1,366,-1,-1,-1,-0.3027,-0.2871,0.01,0.0192,-0.6692,75000
m,26/02/1989,70,mp,2007,60,cbse,2,B.Tech/B.E.,computer engineering,64.3,0,Madhya Pradesh,2011,645,465,575,0.525922584,415,-1,-1,-1,-1,-1,-1,-0.4173,-1.8393,-0.344,1.1199,0.1864,330000
m,14/02/1993,78,state board,2010,87.1,state board,2,B.Tech/B.E.,information technology,65,1,Telangana,2014,430,570,615,0.744758354,525,-1,438,-1,-1,-1,-1,-1.308,-1.1196,0.4711,0.0192,0.6721,140000
m,18/10/1992,89.5,state board,2010,73.4,state board,2,B.Tech/B.E.,computer science & engineering,70.06,1,West Bengal,2014,700,505,585,0.486747008,485,-1,376,-1,-1,-1,-1,0.2718,0.0459,-1.0659,-2.136,-1.244,320000
m,27/10/1986,56.4,0,2006,72,0,2,B.Tech/B.E.,mechanical engineering,64,0,Madhya Pradesh,2010,305,395,455,0.654107475,165,-1,-1,420,-1,-1,-1,0.2009,-0.9033,0.3817,0.2973,0.3444,1210000
m,10/08/1992,88.67,state board,2009,87.69,state board,1,B.Tech/B.E.,chemical engineering,79.65,0,Uttarakhand,2014,545,645,735,0.879915203,-1,-1,-1,-1,-1,-1,-1,-0.7335,1.5444,-0.1437,-2.136,0.6721,700000
m,17/08/1989,58.33,up,2007,73.33,up,2,B.Tech/B.E.,computer science & engineering,71.97,0,Uttar Pradesh,2012,395,325,585,0.744758354,395,-1,438,-1,-1,-1,-1,0.8192,0.5008,0.2366,-0.05527,0.6603,120000
m,28/02/1991,64,cbse,2009,66,cbse,2,B.Tech/B.E.,information technology,69.2,0,Uttar Pradesh,2014,465,390,355,0.356536488,355,-1,346,-1,-1,-1,-1,-0.0154,-0.2871,0.3174,0.1459,0.0973,200000
m,10/04/1989,85.92,karnataka,2007,79.87,karnataka state,2,B.Tech/B.E.,computer engineering,71.07,1,Karnataka,2011,495,565,454,0.968237496,605,-1,-1,-1,-1,-1,-1,0.0464,-0.1232,-0.4891,0.2973,0.9763,315000
m,14/11/1990,88.8,cbse,2009,84.67,state board,2,B.Tech/B.E.,electronics and electrical engineering,70,1,Karnataka,2013,675,605,620,0.985461394,515,500,-1,-1,-1,-1,-1,-0.0154,1.0449,0.4711,1.0333,1.0554,305000
m,01/08/1992,73.8,cbse,2008,75.4,cbse,2,B.Tech/B.E.,electronics and communication engineering,68.56,0,Uttar Pradesh,2013,405,485,680,0.376059587,365,300,-1,-1,-1,-1,-1,-2.272,0.0328,-0.2714,1.1199,-0.4455,335000
m,03/03/1989,71,cbse,2007,58,cbse,2,B.Tech/B.E.,electronics and communication engineering,70.1,0,Orissa,2011,525,465,645,0.538386893,385,333,-1,-1,-1,260,-1,-1.9629,0.8128,0.2366,0.6498,0.0284,410000
f,24/01/1991,81.4,cbse,2008,74,cbse,1,B.Tech/B.E.,computer science & engineering,76.24,1,Delhi,2013,485,525,620,0.953899775,535,-1,530,-1,-1,-1,-1,0.5591,0.5454,1.7007,-2.0092,1.247,200000
m,20/06/1991,88.1,state board,2009,91.1,state board,2,B.Tech/B.E.,electronics and communication engineering,68.2,1,Telangana,2013,535,435,500,0.20739217,305,260,-1,-1,-1,-1,-1,-0.159,0.8784,0.4711,0.2727,0.6721,315000
m,18/02/1992,76,state board,2009,72,state board,2,B.Tech/B.E.,computer science & engineering,63.2,0,Tamil Nadu,2013,510,355,340,0.123016732,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776,120000
f,31/05/1990,82.3,ssc,2007,96.6,intermediate board,2,B.Tech/B.E.,electronics and communication engineering,83,1,Telangana,2012,445,565,615,0.694479328,-1,366,-1,-1,-1,-1,-1,1.1283,1.1248,-0.344,-0.40777,0.8973,310000
m,15/10/1990,78,cbse,2009,68,cbse,1,B.Tech/B.E.,electronics and electrical engineering,72.3,0,Haryana,2013,510,590,510,0.783303537,395,388,-1,-1,-1,-1,-1,0.8463,-0.4536,0.3174,-0.995,0.0973,375000
m,03/06/1992,66.7,state board,2009,54.2,state board,2,B.Tech/B.E.,instrumentation engineering,66.93,0,Uttar Pradesh,2014,430,470,500,0.299597296,-1,260,-1,-1,-1,-1,-1,0.2718,0.3789,0.4711,-0.2344,0.4805,240000
m,19/12/1990,72,state board,2008,60,state board,2,B.Tech/B.E.,computer science & engineering,63,1,Telangana,2013,440,300,285,-1,-1,-1,-1,-1,-1,-1,-1,1.8517,0.8784,1.547,-0.2344,0.4805,295000
m,08/04/1990,82,0,2008,62.3,0,2,B.Tech/B.E.,mechanical engineering,61,0,Orissa,2012,565,475,464,0.068445751,-1,-1,-1,254,-1,-1,-1,-1.4992,-1.2153,-0.9245,-0.5253,-1.8278,360000
f,26/02/1987,58.56,kseeb,2006,73,"directorate of technical education,banglore",2,B.Tech/B.E.,electronics and communication engineering,61.8,0,Karnataka,2010,445,465,565,0.376059587,375,300,-1,-1,-1,-1,-1,0.3555,0.6568,0.9623,0.6498,0.5024,260000
m,05/07/1992,58,state board,2009,62,state board,2,B.Tech/B.E.,computer science & engineering,70.68,0,Uttar Pradesh,2014,405,395,390,0.486747008,495,-1,376,-1,-1,-1,-1,-0.7335,-0.1206,0.7785,0.653,0.0973,180000
m,23/12/1990,77,cbse,2007,78,cbse,2,B.Tech/B.E.,computer science & engineering,75.03,0,West Bengal,2013,500,545,665,0.842248322,485,-1,469,-1,-1,-1,-1,-1.4517,-0.6201,-1.8344,-0.1076,0.6721,100000
f,10/08/1993,75.6,cbse,2010,83.2,cbse,2,B.Tech/B.E.,computer science & engineering,71.1,0,Uttar Pradesh,2014,475,460,530,0.744758354,405,-1,438,-1,-1,-1,-1,1.2772,1.5444,1.8543,1.0333,1.247,160000
m,23/10/1983,75,wbbse,2002,61.7,wbchse,2,MCA,computer application,79,0,West Bengal,2010,365,365,425,0.377551419,375,-1,-1,-1,-1,-1,-1,-0.4173,-0.1232,-0.0537,-0.4078,-0.1295,310000
m,28/06/1991,74,cbse,2009,66.8,cbse,2,B.Tech/B.E.,electronics and communication engineering,68.9,0,Madhya Pradesh,2013,535,505,510,0.338786347,-1,292,-1,-1,-1,-1,-1,-0.5899,-2.2851,-0.7585,0.0192,-2.5853,80000
m,17/07/1991,92.2,icse,2009,75.6,cbse,2,B.Tech/B.E.,computer science & engineering,81.5,1,West Bengal,2014,685,565,645,0.953899775,595,-1,530,-1,-1,-1,-1,1.4208,1.2114,0.3174,-1.5021,0.2889,325000
f,12/11/1990,84.5,ssc,2008,94.1,board of intermediate education,2,B.Tech/B.E.,information technology,70.95,1,Telangana,2012,485,445,575,0.413838256,385,-1,-1,-1,-1,-1,-1,-0.4173,0.1888,0.5269,-1.1422,0.0284,400000
m,28/06/1991,89.4,cbse,2009,75.6,state board,2,B.Tech/B.E.,mechanical engineering,82.53,1,Karnataka,2013,590,610,635,0.840840969,-1,-1,-1,473,-1,-1,-1,0.8463,0.0459,0.7785,-1.8824,0.4805,475000
m,28/05/1993,76.2,cbse,2010,88,state board,2,B.Tech/B.E.,information technology,69.8,0,Tamil Nadu,2014,450,510,620,0.744758354,315,-1,438,-1,-1,-1,-1,1.4208,-0.1206,0.4711,-1.3753,1.6302,180000
f,02/02/1991,85.33,cbse,2008,78.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,77.25,0,Uttar Pradesh,2012,605,404,454,0.824666401,-1,400,407,-1,-1,-1,-1,1.0896,1.5928,0.672,-1.05407,0.1864,250000
m,20/06/1992,72,cbse,2010,64,cbse,2,MCA,computer application,72,0,Uttarakhand,2015,490,410,485,0.450876584,395,-1,-1,-1,-1,-1,-1,1.1336,0.3789,-0.1437,-0.8682,-0.4776,150000
m,12/06/1987,45.6,bse,2007,73.6,chse,2,MCA,computer application,85.2,0,Orissa,2010,365,385,454,0.765673581,485,-1,-1,-1,-1,-1,-1,0.6646,0.3448,-1.0697,0.2973,-0.9194,100000
m,16/05/1992,86.5,state board,2010,82.5,state board,2,B.Tech/B.E.,information technology,61.86,1,Maharashtra,2014,490,395,485,0.911395278,425,-1,500,-1,-1,-1,-1,-0.0154,-0.6201,-0.2974,0.7798,-1.8189,300000
m,16/08/1989,75.83,ssc,2006,68.83,hsc,2,B.Tech/B.E.,information technology,55.6,1,Maharashtra,2010,525,575,655,0.901489571,545,-1,-1,-1,-1,-1,-1,-2.8903,1.2808,0.8171,-0.8778,0.3444,465000
m,10/07/1990,69.4,up board,2007,63,up board,2,B.Tech/B.E.,electronics and communication engineering,61,0,Uttar Pradesh,2013,375,465,265,0.023312168,-1,166,-1,-1,-1,260,-1,-1.1901,0.1888,-1.5051,-1.34787,-0.7615,200000
m,16/03/1993,64,cbse,2010,61,icse,2,B.Tech/B.E.,computer science and technology,63,0,Uttarakhand,2014,455,505,465,0.884122512,535,-1,-1,-1,-1,-1,-1,-1.7389,-1.2861,-1.3733,-0.6147,-0.4776,360000
