Gender_f,Gender_m,10board_0,10board_board of secondary education,10board_cbse,10board_icse,10board_matriculation,10board_other,10board_rbse,10board_ssc,10board_state board,10board_up,10board_up board,10board_wbbse,12board_0,12board_board of intermediate,12board_board of intermediate education,12board_cbse,12board_chse,12board_icse,12board_isc,12board_mp board,12board_other,12board_rbse,12board_state board,12board_up,12board_up board,Degree_B.Tech/B.E.,Degree_MCA,Degree_other,Specialization_computer application,Specialization_computer engineering,Specialization_computer science & engineering,Specialization_electrical engineering,Specialization_electronics & instrumentation eng,Specialization_electronics & telecommunications,Specialization_electronics and communication engineering,Specialization_electronics and electrical engineering,Specialization_information technology,Specialization_mechanical engineering,Specialization_other,CollegeState_Andhra Pradesh,CollegeState_Delhi,CollegeState_Haryana,CollegeState_Karnataka,CollegeState_Madhya Pradesh,CollegeState_Maharashtra,CollegeState_Orissa,CollegeState_Punjab,CollegeState_Rajasthan,CollegeState_Tamil Nadu,CollegeState_Telangana,CollegeState_Uttar Pradesh,CollegeState_Uttarakhand,CollegeState_West Bengal,CollegeState_other,Age,10percentage,12graduation,12percentage,CollegeTier,collegeGPA,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,77,2008,75,2,62,0,2013,675,630,485,0.20739217,405,260,406.5014286,402.026738,423.3360656,349.879562,338.8076923,1.7081,0.5454,0.9322,-0.4879,0.8637,335000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,81.2,2008,79.9,2,67.67,0,2013,395,565,645,0.604241153,495,335.982659,376,402.026738,423.3360656,349.879562,338.8076923,0.7027,0.7119,0.01,-0.995,0.6721,300000
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,85,2009,88,2,85,0,2013,495,445,605,0.765673581,485,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-1.9629,-2.1903,-2.775,0.4148,-0.4455,480000
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,90,2009,82.1,2,85,0,2014,640,530,705,0.486747008,615,335.982659,376,402.026738,423.3360656,349.879562,338.8076923,0.99,0.7119,-0.1437,-1.1218,0.8637,550000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,86.4,2009,86.2,2,81.4,1,2014,720,630,750,0.338786347,485,292,406.5014286,402.026738,423.3360656,228,338.8076923,1.2772,1.0449,0.7785,-1.2486,0.6721,325000
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,84.13,2008,77,2,75.2,0,2012,385,515,465,0.525922584,415,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.1623,0.9688,1.1074,0.4442,-0.1295,405000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,81.7,2005,75.8,2,78.7,0,2011,475,245,485,0.735795709,475,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-1.3447,-1.3713,-0.4891,0.1798,1.2923,500000
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,86,2010,89,2,73.9,0,2014,520,570,620,0.953899775,425,335.982659,530,402.026738,423.3360656,349.879562,338.8076923,1.2772,0.0459,0.6248,-1.3753,0.6721,210000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,66.15,2009,54,2,66,0,2013,360,495,280,0.793580615,495,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,400000
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,79.29,2009,68.67,2,76,0,2013,545,505,595,0.356536488,555,335.982659,346,402.026738,423.3360656,349.879562,338.8076923,0.2718,0.7119,0.3174,-0.1076,1.4386,360000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,60,2006,50,2,69.94,0,2013,240,340,430,0.143256541,295,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,240000
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,58.4,2008,64.8,2,80,0,2014,440,415,554,0.793580615,495,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,61,2003,59,2,63,1,2011,355,565,495,0.930370607,565,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.881,0.6568,0.672,1.4724,0.3444,430000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,50,2008,64,2,70,0,2011,345,365,445,0.538386893,449.5536627,333,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.4173,-1.3713,0.9042,1.5578,0.3444,120000
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,67.06,2008,70.67,2,55.5,1,2012,440,440,385,0.144789889,435,335.982659,284,402.026738,423.3360656,349.879562,338.8076923,1.1336,-0.2871,-0.1437,0.1459,0.2889,120000
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,67,2008,61,2,75,0,2012,370,410,320,0.488347977,405,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,120000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,73,2009,71,2,61,1,2013,180,365,310,0.074546265,255,433,406.5014286,313,423.3360656,349.879562,322,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,600000
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,86.17,2006,78.6,1,73.34,1,2010,505,495,695,0.987207086,645,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-1.4992,0.5008,0.2366,0.6498,0.6603,500000
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,78,2009,75,2,73,0,2014,630,555,570,0.066960707,449.5536627,335.982659,406.5014286,253,423.3360656,349.879562,338.8076923,1.7081,-0.1206,0.01,-1.7556,0.2889,240000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,71.8,2007,68.2,2,76.5,0,2012,615,590,585,0.604241153,485,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.159,-0.7866,-0.7585,0.1459,-2.0105,200000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,66.66,2005,80.4,2,64.29,0,2011,525,505,575,0.901489571,545,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.0464,0.3448,-0.344,-0.1727,-0.1295,80000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,85,2009,81,2,76.7,1,2013,455,530,440,0.622642916,455,335.982659,407,402.026738,423.3360656,349.879562,338.8076923,1.7081,0.8784,1.7007,0.1459,0.8637,330000
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,83.6,2008,74,2,71,0,2013,615,595,720,0.987207086,645,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.7335,0.0459,0.6248,-0.6147,0.2889,450000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,61.69,2008,60.66,1,77.5,0,2014,440,605,520,0.356536488,575,335.982659,346,402.026738,423.3360656,349.879562,338.8076923,0.5591,0.3789,0.6248,0.3995,-1.0524,240000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,85,2009,82,2,81,1,2013,730,525,690,0.694479328,465,366,406.5014286,402.026738,423.3360656,393,338.8076923,0.99,0.2124,0.6248,0.2727,-1.0524,325000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,80.13,2008,69.17,2,60.34,0,2012,590,440,385,0.996744487,475,335.982659,623,402.026738,423.3360656,349.879562,338.8076923,-0.5899,-0.6201,0.4711,-0.3612,-0.2859,215000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,82.5,2009,85,2,75,1,2013,545,485,530,0.600057182,435,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.1282,-1.9521,-0.6048,0.653,0.6721,315000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,63.5,2010,65.72,2,60,0,2014,430,460,320,0.23780284,355,335.982659,315,402.026738,423.3360656,349.879562,338.8076923,0.5591,1.0449,0.3174,-0.2344,0.6721,220000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,64,2010,62,2,75,0,2014,345,470,365,0.356536488,435,335.982659,346,402.026738,423.3360656,349.879562,338.8076923,-0.3027,-0.4536,-2.4491,1.0333,-0.2859,180000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,76,2005,61,2,85,0,2012,464,475,575,0.960903087,595,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-1.4992,-1.3713,-0.6343,0.1798,-1.1169,240000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,73,2008,76,2,74,1,2013,465,570,415,0.356536488,575,335.982659,346,402.026738,423.3360656,349.879562,338.8076923,-1.5953,-0.1206,0.3174,0.2727,-1.4356,60000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,91,2008,83,2,71,0,2012,475,495,565,0.930370607,565,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,1.1283,0.6568,-0.344,-0.7603,-0.4455,165000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,65,2007,47.6,2,63,0,2013,415,365,475,0.600057182,435,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.2009,-0.7473,0.3817,0.5323,0.3444,180000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,70.16,2007,66.8,2,69.7,0,2014,275,485,530,0.486747008,475,335.982659,376,402.026738,423.3360656,349.879562,338.8076923,-0.4463,-1.1196,0.01,0.5262,-0.0943,150000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,74.6,2005,80.8,2,72.45,0,2010,535,415,635,0.960603252,449.5536627,466,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.8192,0.3448,1.1074,-0.1727,1.4502,370000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,66.5,2008,66.4,2,66,0,2013,500,560,560,0.376059587,449.5536627,300,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.5719,0.8351,0.2477,-0.6428,-0.4455,145000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,78.4,2009,58.4,2,76.5,0,2013,545,535,605,0.986525019,449.5536627,335.982659,406.5014286,580,423.3360656,349.879562,338.8076923,-0.3027,1.5444,0.3174,1.5404,0.8637,100000
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,62,2002,62,2,72.02,0,2010,505,445,575,0.864685413,525,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.0464,0.2668,-1.7954,-0.6428,-1.2354,300000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,52.93,2008,64,2,73,0,2014,325,375,370,0.911395278,495,335.982659,500,402.026738,423.3360656,349.879562,338.8076923,0.2718,-0.1206,0.3174,-1.8824,-0.4776,240000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,82,2008,81,2,64,0,2012,625,585,530,0.376059587,449.5536627,300,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.7419,0.8128,-1.6502,-0.8778,-0.2875,500000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,78,2008,69,2,75,1,2012,355,485,425,0.0587928,325,200,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.2628,-0.5913,-0.1988,1.2374,-0.169,300000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,65,2008,65.4,1,67.72,0,2014,490,615,725,0.744758354,595,335.982659,438,402.026738,423.3360656,349.879562,338.8076923,-0.3027,-0.7866,-1.527,1.9207,-1.6273,300000
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,70.2,2007,68.4,1,60.4,0,2011,544,415,504,0.0587928,335,200,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-0.5719,-0.2793,0.672,-0.6428,-0.2875,510000
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,93,2010,89,2,83,0,2014,345,495,325,0.622642916,445,335.982659,407,402.026738,423.3360656,349.879562,338.8076923,-0.7335,0.0459,-0.1437,1.0333,-0.8608,150000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,53.4,2010,66,2,60.62,0,2014,300,520,330,0.744758354,335,335.982659,438,402.026738,423.3360656,349.879562,338.8076923,-0.3027,0.2124,1.0859,1.1601,-0.4776,240000
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,84.2,2008,78.6,2,64.45,0,2012,525,605,595,0.376059587,449.5536627,300,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-2.272,0.2668,-0.9245,1.0024,0.6603,145000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,71.5,2007,60,2,68.74,0,2012,415,355,455,0.24545566,335,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.51,1.1248,-0.7794,-0.2609,-0.6035,240000
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,81.5,2009,80.2,2,82,1,2013,430,510,415,0.3423149,365,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,0.7027,-1.1196,-0.1437,0.3995,0.2889,310000
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,63,2008,66,2,65.55,0,2012,435,465,465,0.704090412,465,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-3.6631,-2.1513,0.0914,1.32553,-1.2354,450000
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,74,2004,86.1,2,76,0,2010,405,385,585,0.635978756,445,335.982659,406.5014286,402.026738,423.3360656,349.879562,338.8076923,-1.8083,-0.5913,-0.9245,-0.0552,0.3444,380000
